Iterations,Seconds,Score
9150000,1711155600,59,423838
9160000,1711155601,58,927882
9170000,1711155601,59,354413
9180000,1711155602,59,226674
9190000,1711155602,59,181076
9200000,1711155603,59,222951
9210000,1711155604,58,354526
9220000,1711155604,59,166834
9230000,1711155605,58,993150
9240000,1711155605,59,273771
9250000,1711155606,58,804511
9260000,1711155606,59,059208
9270000,1711155607,58,987307
9280000,1711155608,59,136361
9290000,1711155608,58,863961
9300000,1711155609,58,968372
9310000,1711155609,59,162331
9320000,1711155610,58,580776
9330000,1711155610,58,483136
9340000,1711155611,59,011772
9350000,1711155612,58,664485
9360000,1711155612,59,127378
9370000,1711155613,58,632208
9380000,1711155613,59,088048
9390000,1711155614,58,646432
9400000,1711155615,59,134781
9410000,1711155615,58,844587
9420000,1711155616,59,036992
9430000,1711155616,58,892929
9440000,1711155617,58,798130
9450000,1711155617,58,632860
9460000,1711155618,58,348462
9470000,1711155619,58,737659
9480000,1711155619,58,490647
9490000,1711155620,58,755607
9500000,1711155620,58,461028
9510000,1711155621,58,783185
9520000,1711155621,58,941382
9530000,1711155622,58,402229
9540000,1711155623,58,905909
9550000,1711155623,58,691972
9560000,1711155624,58,351824
9570000,1711155624,58,544232
9580000,1711155625,58,714781
9590000,1711155625,58,856675
9600000,1711155626,58,822038
9610000,1711155626,58,477804
9620000,1711155627,58,703328
9630000,1711155627,58,786905
9640000,1711155628,58,398799
9650000,1711155629,58,453706
9660000,1711155629,58,765511
9670000,1711155630,58,445062
9680000,1711155630,58,433691
9690000,1711155631,58,607559
9700000,1711155631,58,208457
9710000,1711155632,58,449305
9720000,1711155632,58,600761
9730000,1711155633,58,656014
9740000,1711155634,58,154379
9750000,1711155634,58,751439
9760000,1711155635,58,967061
9770000,1711155635,58,470356
9780000,1711155636,57,609522
9790000,1711155637,58,508945
9800000,1711155637,58,168814
9810000,1711155638,58,600580
9820000,1711155638,58,263975
9830000,1711155639,58,122005
9840000,1711155639,58,486557
9850000,1711155640,57,752460
9860000,1711155640,58,103828
9870000,1711155641,58,393954
9880000,1711155641,58,139242
9890000,1711155642,58,183777
9900000,1711155643,58,303077
9910000,1711155643,58,161116
9920000,1711155644,58,250143
9930000,1711155644,57,710599
9940000,1711155645,58,379497
9950000,1711155645,58,973982
9960000,1711155646,58,113973
9970000,1711155646,57,712965
9980000,1711155647,58,457094
9990000,1711155648,58,133591
10000000,1711155648,58,332312
10010000,1711155649,57,450003
10020000,1711155649,57,859871
10030000,1711155650,57,720011
