Iterations,Seconds,Score
10400000,372,15.631077
10410000,372,15.637493
10420000,373,15.619211
10430000,373,15.618189
10440000,373,15.618783
10450000,374,15.631383
10460000,374,15.630610
10470000,375,15.625770
10480000,375,15.612354
10490000,375,15.617900
10500000,376,15.625988
10510000,376,15.619179
10520000,376,15.612452
10530000,377,15.612100
10540000,377,15.608076
10550000,378,15.610980
10560000,378,15.611613
10570000,378,15.601433
10580000,379,15.592090
10590000,379,15.603531
10600000,379,15.600992
10610000,380,15.580801
10620000,380,15.595148
10630000,381,15.588893
10640000,381,15.592972
10650000,381,15.591773
10660000,382,15.593229
10670000,382,15.587590
10680000,382,15.588928
10690000,383,15.594283
10700000,383,15.585944
10710000,384,15.583970
10720000,384,15.577385
10730000,384,15.583123
10740000,385,15.578837
10750000,385,15.580077
10760000,385,15.582105
10770000,386,15.576411
10780000,386,15.568031
10790000,387,15.553975
10800000,387,15.562956
10810000,387,15.556071
10820000,388,15.567623
10830000,388,15.554635
10840000,388,15.565044
10850000,389,15.552007
10860000,389,15.545359
10870000,390,15.555186
10880000,390,15.556965
10890000,390,15.542689
10900000,391,15.550992
10910000,391,15.549758
10920000,391,15.547130
10930000,392,15.549837
10940000,392,15.543607
10950000,393,15.543396
10960000,393,15.544306
10970000,393,15.535104
10980000,394,15.543125
10990000,394,15.533357
11000000,394,15.537600
11010000,395,15.538905
11020000,395,15.541865
11030000,396,15.522280
11040000,396,15.533377
11050000,396,15.526191
11060000,397,15.511058
11070000,397,15.526510
11080000,398,15.525475
11090000,398,15.522225
11100000,398,15.516186
11110000,399,15.512660
11120000,399,15.515617
11130000,400,15.512375
11140000,400,15.514692
11150000,400,15.503735
11160000,401,15.512692
11170000,401,15.507521
11180000,401,15.503952
11190000,402,15.507553
11200000,402,15.507589
11210000,402,15.513383
11220000,403,15.503285
11230000,403,15.507628
11240000,403,15.499109
11250000,404,15.498158
11260000,404,15.503952
11270000,405,15.489309
11280000,405,15.477104
11290000,405,15.492984
11300000,406,15.485887
11310000,406,15.487868
11320000,407,15.488518
11330000,407,15.479582
11340000,407,15.489138
11350000,408,15.484235
11360000,408,15.471125
11370000,408,15.471368
11380000,409,15.475571
