Iterations,Seconds,Score
5810000,1711228079,37,741863
5820000,1711228080,37,814518
5830000,1711228080,37,909827
5840000,1711228081,38,238949
5850000,1711228081,37,799383
5860000,1711228082,37,600129
5870000,1711228082,37,453699
5880000,1711228083,37,176956
5890000,1711228083,37,536745
5900000,1711228084,37,806837
5910000,1711228084,37,606120
5920000,1711228085,37,091264
5930000,1711228085,38,205362
5940000,1711228086,37,916439
5950000,1711228086,37,450544
5960000,1711228087,37,434981
5970000,1711228088,38,101399
5980000,1711228088,37,609265
5990000,1711228089,37,895328
6000000,1711228089,37,821897
6010000,1711228090,37,735874
6020000,1711228090,37,744763
6030000,1711228091,37,569069
6040000,1711228091,37,261140
6050000,1711228092,37,264401
6060000,1711228092,37,523642
6070000,1711228093,37,690204
6080000,1711228093,37,698180
6090000,1711228094,37,379239
6100000,1711228095,37,428062
6110000,1711228095,37,543298
6120000,1711228095,37,609268
6130000,1711228096,37,542045
6140000,1711228097,37,659453
6150000,1711228097,37,784990
6160000,1711228098,37,462603
6170000,1711228098,37,774986
6180000,1711228099,37,190541
6190000,1711228099,37,303565
6200000,1711228100,37,250784
6210000,1711228101,37,631863
6220000,1711228101,37,380103
6230000,1711228102,37,611634
6240000,1711228102,37,207107
6250000,1711228103,37,688601
6260000,1711228103,37,105211
6270000,1711228104,37,195913
6280000,1711228104,37,603231
6290000,1711228105,37,446025
6300000,1711228105,37,306715
6310000,1711228106,37,438221
6320000,1711228106,37,747771
6330000,1711228107,37,195641
6340000,1711228107,37,774838
6350000,1711228108,37,423668
6360000,1711228108,36,962377
6370000,1711228109,37,179886
6380000,1711228110,36,880940
6390000,1711228110,37,480517
6400000,1711228111,37,044925
6410000,1711228111,37,334094
6420000,1711228112,36,685736
6430000,1711228112,37,280243
6440000,1711228113,37,305891
6450000,1711228113,36,724714
6460000,1711228114,37,191324
6470000,1711228115,36,980215
6480000,1711228115,37,192793
6490000,1711228116,36,926350
6500000,1711228116,37,172283
6510000,1711228117,36,953665
6520000,1711228118,37,088557
6530000,1711228118,37,107936
6540000,1711228119,36,978935
6550000,1711228119,36,898727
6560000,1711228120,36,831408
6570000,1711228120,37,230959
6580000,1711228121,36,943968
6590000,1711228121,37,396506
6600000,1711228122,37,250731
6610000,1711228123,37,174624
6620000,1711228123,36,806050
6630000,1711228124,37,142268
6640000,1711228124,36,735291
6650000,1711228125,36,847237
6660000,1711228125,36,905434
6670000,1711228126,36,622840
6680000,1711228126,36,333379
6690000,1711228127,36,826069
6700000,1711228127,36,956487
6710000,1711228128,36,925159
6720000,1711228129,36,557363
6730000,1711228129,36,762203
6740000,1711228130,36,922873
6750000,1711228130,36,261510
6760000,1711228131,36,850121
6770000,1711228132,36,759035
6780000,1711228132,36,667390
6790000,1711228133,36,910019
6800000,1711228133,36,900950
6810000,1711228134,36,437833
6820000,1711228134,36,597312
6830000,1711228135,36,627617
6840000,1711228135,36,901472
6850000,1711228136,36,416902
6860000,1711228137,36,556169
6870000,1711228137,36,669892
6880000,1711228138,36,724727
6890000,1711228138,36,417175
6900000,1711228139,36,658990
6910000,1711228139,36,375872
6920000,1711228140,35,795822
6930000,1711228140,36,536024
6940000,1711228141,36,519385
6950000,1711228141,36,062929
6960000,1711228142,36,128321
6970000,1711228142,36,629481
6980000,1711228143,37,307368
6990000,1711228144,36,822818
7000000,1711228144,36,439486
7010000,1711228145,36,488914
7020000,1711228145,36,940678
7030000,1711228146,36,459482
7040000,1711228146,36,236854
7050000,1711228147,36,013842
7060000,1711228147,36,722503
7070000,1711228148,36,374692
7080000,1711228148,36,495090
7090000,1711228149,36,301783
7100000,1711228150,35,888688
7110000,1711228150,35,933129
7120000,1711228151,36,606538
7130000,1711228151,36,232563
7140000,1711228152,35,866010
7150000,1711228152,36,248126
7160000,1711228153,36,197581
7170000,1711228153,36,299237
7180000,1711228154,36,218477
7190000,1711228155,36,057134
7200000,1711228155,36,265513
7210000,1711228156,36,393067
7220000,1711228156,36,327940
7230000,1711228157,36,288015
7240000,1711228157,35,806414
7250000,1711228158,36,436094
7260000,1711228158,36,249346
7270000,1711228159,36,308581
7280000,1711228160,36,298476
7290000,1711228160,36,002617
7300000,1711228161,35,922268
7310000,1711228161,36,125511
7320000,1711228161,35,980632
7330000,1711228162,35,820802
7340000,1711228163,36,359785
7350000,1711228163,36,257692
7360000,1711228164,36,212859
7370000,1711228164,36,097562
7380000,1711228165,36,046168
7390000,1711228165,36,485436
7400000,1711228166,36,010326
7410000,1711228166,35,918917
7420000,1711228167,36,258239
7430000,1711228168,36,317436
7440000,1711228168,36,144201
7450000,1711228169,36,117807
7460000,1711228169,35,935836
7470000,1711228170,36,450795
7480000,1711228170,36,051901
7490000,1711228171,35,805807
7500000,1711228172,35,896604
7510000,1711228172,35,900171
7520000,1711228173,35,796863
7530000,1711228173,36,071753
7540000,1711228174,35,909374
7550000,1711228174,35,938072
7560000,1711228175,35,800299
7570000,1711228175,36,119738
7580000,1711228176,35,987076
7590000,1711228177,35,814674
7600000,1711228177,35,841410
7610000,1711228178,35,521321
7620000,1711228178,36,003651
7630000,1711228179,35,707737
7640000,1711228179,35,767067
7650000,1711228180,35,908605
7660000,1711228181,35,775016
7670000,1711228181,35,813857
7680000,1711228182,35,652179
7690000,1711228182,35,792101
7700000,1711228183,35,941387
7710000,1711228183,35,753050
7720000,1711228184,35,915973
7730000,1711228184,35,536160
7740000,1711228185,35,537514
7750000,1711228185,36,033202
7760000,1711228186,35,659863
7770000,1711228186,35,596158
7780000,1711228187,35,843388
7790000,1711228187,35,568797
7800000,1711228188,35,940329
7810000,1711228188,35,816891
7820000,1711228189,35,790241
7830000,1711228190,35,629411
7840000,1711228190,35,823302
7850000,1711228191,35,866675
7860000,1711228191,35,510074
7870000,1711228192,35,569206
7880000,1711228192,35,612041
7890000,1711228193,35,841362
7900000,1711228193,35,620902
7910000,1711228194,35,446169
7920000,1711228194,35,551250
7930000,1711228195,35,904276
7940000,1711228196,35,919121
7950000,1711228196,35,616103
7960000,1711228197,35,620141
7970000,1711228197,35,594212
7980000,1711228198,35,620795
7990000,1711228198,35,570984
8000000,1711228199,35,432458
8010000,1711228200,35,731709
8020000,1711228200,35,242156
8030000,1711228201,35,606698
8040000,1711228201,35,514268
8050000,1711228202,35,686001
