Iterations,Seconds,Score
6330000,1711187522,53,857488
6340000,1711187522,54,248448
6350000,1711187523,54,949087
6360000,1711187523,53,752759
6370000,1711187524,54,348676
6380000,1711187525,54,924010
6390000,1711187525,54,242822
6400000,1711187526,54,254187
6410000,1711187526,54,630673
6420000,1711187527,54,152556
6430000,1711187528,54,378757
6440000,1711187528,53,475107
6450000,1711187529,53,958867
6460000,1711187529,54,408846
6470000,1711187530,53,738665
6480000,1711187530,54,128325
6490000,1711187531,54,550476
6500000,1711187531,52,648573
6510000,1711187532,53,638842
6520000,1711187533,54,482155
6530000,1711187533,54,772079
6540000,1711187534,53,839792
6550000,1711187534,54,244797
6560000,1711187535,53,545644
6570000,1711187535,53,415074
6580000,1711187536,54,179297
6590000,1711187536,53,176584
6600000,1711187537,54,087074
6610000,1711187537,54,114690
6620000,1711187538,53,151232
6630000,1711187538,53,304004
6640000,1711187539,54,030602
6650000,1711187540,53,731183
6660000,1711187540,53,603590
6670000,1711187541,53,846210
6680000,1711187541,53,553376
6690000,1711187542,53,793794
6700000,1711187542,53,780515
6710000,1711187543,53,975529
6720000,1711187543,54,187081
6730000,1711187544,53,722312
6740000,1711187545,53,622337
6750000,1711187545,53,336819
6760000,1711187546,53,536998
6770000,1711187546,53,410243
6780000,1711187547,53,915872
6790000,1711187547,53,850366
6800000,1711187548,53,254032
6810000,1711187548,52,832919
6820000,1711187549,53,865888
6830000,1711187549,52,855042
6840000,1711187550,52,535447
6850000,1711187550,53,995961
6860000,1711187551,53,871047
6870000,1711187552,52,856530
6880000,1711187552,53,608967
6890000,1711187553,53,724823
6900000,1711187553,53,902433
6910000,1711187553,53,323346
6920000,1711187554,53,737937
6930000,1711187554,52,815462
6940000,1711187555,54,354227
6950000,1711187556,53,351275
6960000,1711187556,53,156683
6970000,1711187557,52,798368
6980000,1711187557,52,121116
6990000,1711187558,53,479438
7000000,1711187558,53,432138
7010000,1711187559,53,109930
7020000,1711187559,52,788695
7030000,1711187560,52,736475
7040000,1711187561,52,245522
7050000,1711187561,53,306235
7060000,1711187562,53,478455
7070000,1711187562,52,036297
7080000,1711187563,53,009175
7090000,1711187563,52,550735
7100000,1711187564,53,505170
7110000,1711187565,53,109689
7120000,1711187565,53,094977
7130000,1711187566,53,276816
7140000,1711187566,52,158281
7150000,1711187567,53,654572
7160000,1711187567,52,826017
7170000,1711187568,53,175123
7180000,1711187568,52,825021
7190000,1711187569,52,798625
7200000,1711187570,52,584324
7210000,1711187570,52,214180
7220000,1711187571,52,659733
7230000,1711187571,52,618013
7240000,1711187571,52,743007
7250000,1711187572,52,220865
7260000,1711187573,53,155388
7270000,1711187573,52,883435
7280000,1711187574,52,089748
7290000,1711187574,52,739762
7300000,1711187575,52,507566
7310000,1711187575,52,497529
7320000,1711187576,52,551291
7330000,1711187576,52,333391
7340000,1711187577,52,267459
7350000,1711187578,52,586992
7360000,1711187578,52,664868
7370000,1711187579,52,509874
7380000,1711187579,52,768287
7390000,1711187580,52,243458
7400000,1711187580,52,907567
7410000,1711187581,52,432680
7420000,1711187581,51,570530
7430000,1711187582,51,634697
7440000,1711187582,52,515108
7450000,1711187583,52,064508
7460000,1711187584,52,437541
7470000,1711187584,51,868872
7480000,1711187585,52,216005
7490000,1711187585,51,962289
7500000,1711187586,52,381397
7510000,1711187586,52,369187
7520000,1711187587,52,377669
7530000,1711187587,52,326779
7540000,1711187588,52,344626
7550000,1711187588,52,755133
7560000,1711187589,52,486525
7570000,1711187589,51,995574
7580000,1711187590,52,230751
7590000,1711187591,52,280363
7600000,1711187591,52,172947
7610000,1711187592,51,909686
7620000,1711187592,52,208313
7630000,1711187593,52,238313
7640000,1711187593,52,637471
7650000,1711187594,52,207786
7660000,1711187595,51,536594
7670000,1711187595,51,592574
7680000,1711187595,50,945810
7690000,1711187596,52,381258
7700000,1711187596,52,146007
7710000,1711187597,51,923629
7720000,1711187597,52,096510
7730000,1711187598,51,889442
7740000,1711187598,50,818169
7750000,1711187599,52,269552
7760000,1711187600,51,841859
7770000,1711187600,52,344579
7780000,1711187601,51,911427
7790000,1711187601,51,557367
7800000,1711187602,51,399286
7810000,1711187602,52,035419
7820000,1711187603,51,408291
7830000,1711187603,52,552870
7840000,1711187604,51,392630
7850000,1711187605,51,853291
7860000,1711187605,51,745063
7870000,1711187606,51,273880
7880000,1711187606,51,504857
7890000,1711187607,51,820167
7900000,1711187607,52,377552
7910000,1711187608,51,533342
7920000,1711187608,51,594142
7930000,1711187609,51,969757
7940000,1711187610,51,549530
7950000,1711187610,51,183714
7960000,1711187611,51,434206
7970000,1711187611,51,571679
7980000,1711187612,51,682932
7990000,1711187612,51,979915
8000000,1711187613,51,355851
8010000,1711187613,51,784825
8020000,1711187614,51,271930
8030000,1711187614,51,162636
8040000,1711187615,51,896926
8050000,1711187615,51,499465
8060000,1711187616,51,107654
8070000,1711187617,51,633579
8080000,1711187617,51,948444
8090000,1711187618,51,604862
8100000,1711187618,51,426567
8110000,1711187619,51,736105
8120000,1711187619,51,506580
8130000,1711187620,51,398745
8140000,1711187621,51,491776
8150000,1711187621,51,524897
8160000,1711187622,51,075532
8170000,1711187622,51,210005
8180000,1711187623,51,532303
8190000,1711187623,51,480918
8200000,1711187624,51,520704
8210000,1711187624,51,714204
8220000,1711187625,51,265480
8230000,1711187626,51,132800
8240000,1711187626,51,273165
8250000,1711187627,51,521957
8260000,1711187627,51,079430
8270000,1711187628,51,036976
8280000,1711187628,51,604881
8290000,1711187629,51,561131
8300000,1711187630,50,345541
8310000,1711187630,51,107870
8320000,1711187631,51,250440
8330000,1711187631,50,863194
8340000,1711187632,50,976819
8350000,1711187633,51,400805
8360000,1711187633,50,847573
8370000,1711187634,50,784027
8380000,1711187634,50,772286
8390000,1711187635,50,983880
8400000,1711187635,51,254091
8410000,1711187636,50,443225
8420000,1711187636,50,758427
8430000,1711187637,50,525413
8440000,1711187638,50,917855
8450000,1711187638,51,430310
8460000,1711187639,50,448129
8470000,1711187639,50,803587
8480000,1711187640,50,964900
8490000,1711187640,51,071186
8500000,1711187641,50,679635
8510000,1711187641,50,580613
8520000,1711187642,51,084711
8530000,1711187643,50,945936
8540000,1711187643,51,062595
8550000,1711187644,50,065218
8560000,1711187644,50,767503
8570000,1711187645,50,877563
8580000,1711187645,50,824287
8590000,1711187646,50,080303
8600000,1711187646,50,713532
8610000,1711187647,50,621017
8620000,1711187648,50,217271
8630000,1711187648,49,990498
8640000,1711187649,50,634526
8650000,1711187649,50,636737
8660000,1711187650,50,165096
8670000,1711187650,50,322516
8680000,1711187651,50,048152
8690000,1711187652,50,362651
8700000,1711187652,50,861520
8710000,1711187653,51,285107
8720000,1711187653,50,307492
8730000,1711187654,50,413734
8740000,1711187654,50,459412
8750000,1711187655,50,474686
8760000,1711187655,50,551176
8770000,1711187656,50,269467
8780000,1711187657,50,486425
8790000,1711187657,49,951017
8800000,1711187658,50,749567
8810000,1711187658,50,572880
8820000,1711187659,50,159349
8830000,1711187659,50,157118
8840000,1711187660,50,227105
8850000,1711187660,50,263199
8860000,1711187661,50,134596
8870000,1711187662,50,190339
8880000,1711187662,49,794705
8890000,1711187663,49,860471
8900000,1711187663,50,656183
8910000,1711187664,50,439997
8920000,1711187665,50,535737
8930000,1711187665,50,150451
8940000,1711187666,50,214790
8950000,1711187666,50,170407
8960000,1711187667,50,317242
8970000,1711187667,50,086183
8980000,1711187668,49,806521
8990000,1711187669,49,582670
9000000,1711187669,50,219328
9010000,1711187670,49,785045
9020000,1711187670,49,868036
9030000,1711187671,49,864515
9040000,1711187671,49,968798
9050000,1711187672,49,819959
9060000,1711187672,49,519779
9070000,1711187673,50,105818
9080000,1711187673,49,368459
9090000,1711187674,49,544105
9100000,1711187675,50,077294
9110000,1711187675,50,582559
9120000,1711187676,49,418975
9130000,1711187676,49,899001
9140000,1711187677,49,949618
9150000,1711187678,49,601192
9160000,1711187678,50,275921
9170000,1711187679,49,585127
9180000,1711187679,49,656857
9190000,1711187680,50,108254
9200000,1711187680,49,189030
9210000,1711187681,50,002595
9220000,1711187681,49,751443
9230000,1711187682,49,565843
9240000,1711187682,49,166868
9250000,1711187683,49,344640
9260000,1711187684,49,621139
9270000,1711187684,49,412052
9280000,1711187685,49,101993
9290000,1711187685,49,152289
9300000,1711187686,49,923635
9310000,1711187686,49,201139
9320000,1711187687,50,065657
9330000,1711187687,49,609278
9340000,1711187687,49,571854
9350000,1711187688,49,527522
9360000,1711187688,49,239387
9370000,1711187689,49,313139
9380000,1711187690,49,258307
9390000,1711187690,49,798795
9400000,1711187691,49,419829
9410000,1711187691,49,392138
9420000,1711187692,49,542060
9430000,1711187692,48,960814
9440000,1711187693,49,163480
9450000,1711187693,49,299100
